symbol,log2FC,p,padj
RPS15,-0.21053360691269773,0.1268368485951529,0.6394197922143965
RPS15A,-0.07547388380952569,0.3206621299974868,0.7955280231466312
RPS16,-0.10589922224603043,0.13659972515584962,0.6537549228040118
RPS17,-0.22490285634920504,0.011149258553028367,0.3161210158304839
RPS18,-0.022738170873013885,0.7435626818957477,0.9495503320865284
RPS18P9,-0.15633029288888878,0.07406553198420794,0.5635324135267271
RPS19,0.07755786904761663,0.4379385756864155,0.858243588435086
RPS19BP1,-0.07628879943650713,0.36086780023697296,0.8182446500660894
RPS2,-0.1656538507936478,0.08394749671940556,0.5792045477706572
RPS20,-0.06550449253968438,0.4108408042551751,0.8451478693272582
RPS20P27,0.1760758425238098,0.23445186271608212,0.7404628141979616
RPS21,-0.01687090579365158,0.8511455550788734,0.9706192312780447
RPS23,-0.2978798376031708,0.04167583718436911,0.47591086596692705
RPS24,-0.14332165156349141,0.2952119386616803,0.7810394984203495
RPS25,-0.32722475360317294,0.017170334793792586,0.36153628816889155
RPS26,-0.23357690420634825,0.006958435167247891,0.263364894953646
RPS26P11///RPS26,-0.3214710467619053,0.00044833856181804614,0.10318919580753075
RPS27,-0.2319272562698398,0.030953050446636585,0.44000266202089466
RPS27A,-0.08067293929365071,0.5451450533550241,0.898936480943976
RPS27L,0.02963792646825425,0.8343584190595281,0.9685513764729564
RPS28,-0.057961465952381275,0.5528782386935122,0.9020579570638575
RPS29,-0.06210674981746145,0.40770200768991216,0.8426811980127853
RPS2P32,-0.24915087485714338,0.03829207182466529,0.464579269036727
RPS3,-0.045447753412695135,0.5754021727665779,0.9108212074741763
RPS3A,-0.4248157912460355,0.0019767408408908047,0.1862181813553598
RPS4X,-0.07916917761111542,0.44783178426812664,0.8619155681397342
RPS4Y1,-0.3399712561587309,0.6668403717667222,0.929351024991627
RPS4Y2,-0.06240118563491981,0.4161105772579736,0.8475275146790403
RPS5,-0.04393724073015903,0.6351869297327788,0.9254118885633507
RPS6,-0.11173484841269854,0.07542983488881767,0.5681501955515482
RPS6KA1,0.636601922023809,7.24529564876968e-05,0.0458581931469316
RPS6KA2,-0.01933194211904876,0.8176623257720627,0.9661900808204716
RPS6KA3,-0.06013841721428648,0.4981635275682966,0.8817446550177646
RPS6KA4,0.07649652569841336,0.33417087496838316,0.8030177906684962
RPS6KA5,0.14556260275396848,0.2612742077888575,0.7597071408408853
RPS6KA6,-0.07118071375396795,0.596413091496262,0.9201813762332808
RPS6KB1,-0.12306206423015897,0.29862034745167937,0.7830125412719606
RPS6KB2,-0.053461565976190784,0.524261023295763,0.8917952080508053
RPS6KC1,0.02025758983333148,0.8488343316158449,0.9704383034184704
RPS6KL1,0.21566404641269799,0.01967985815977272,0.38180432893292254
RPS6P6,0.13085636788888877,0.4141075687874922,0.8461301221555517
RPS7,-0.2652784581587291,0.011715640588556965,0.32025055984800654
RPS8,-0.271833416238092,0.0009145172330930334,0.14773481953238582
RPS9,-0.20656740538095164,0.08009020946627715,0.5742370714078068
RPSAP15,-0.13937607699999965,0.22808109023561784,0.7375704059431816
RPSAP15///RPSA,-0.12228697835714364,0.12049450241830202,0.6351194356326563
RPSAP19///RPSAP15///RPSA,-0.210291701079365,0.05609343765322652,0.5198907295485913
RPSAP52,0.04958043007936608,0.5051618171869411,0.8848427268576775
RPSAP58,0.23310828134920625,0.13509576362545003,0.6508633673810336
RPTN,0.12082128073015941,0.08478057241043643,0.580270984797197
RPTOR,0.11766163257142814,0.11011390751609676,0.6211368328249335
RPUSD1,-0.12227878797619063,0.1790948667035845,0.7019844568199011
RPUSD2,-0.047153507738094014,0.5431330239695933,0.8986644822205782
RPUSD3,-0.032196976119046816,0.7332680429015537,0.9456382567498898
RPUSD4,-0.02673624691269616,0.76430315305116,0.953665756568716
RRAD,0.0047504173095225255,0.9611519993688602,0.9912123886808784
RRAGA,-0.11756049425396675,0.0797084994585644,0.5742370714078068
RRAGB,0.09666529006349212,0.4506123744461997,0.8629596166401009
RRAGC,0.03335242463491905,0.6914827275638962,0.9359496478902974
RRAGD,-0.19488292184127154,0.07091494820282503,0.5572006218260401
RRAS,0.19363616921428495,0.058364840151813445,0.5256057440522585
RRAS2,-0.16269499455555447,0.10001003137674991,0.6092039625578023
RRBP1,-0.08003337343650507,0.5031083961214864,0.8836244758103179
RREB1,0.018049529912699924,0.8770576995158622,0.9766542802393245
RRH,-0.0851151870555551,0.47720881850029706,0.8758004989086003
RRM1,0.21300001179365147,0.05273219305463146,0.5112471455159711
RRM2,-0.017637447793651173,0.9408184074524143,0.9871209328770267
RRM2B,0.17479392649999959,0.14084425142979293,0.6574462937218313
RRN3,0.03707770386507825,0.734696623863747,0.9461180963718421
RRN3P1///RRN3P2///RRN3,-0.09528302726984172,0.4826227806643203,0.8773022662195306
RRN3P3///RRN3P1///RRN3P2///RRN3,0.020704588253965817,0.8619309486077507,0.9737588929663867
RRNAD1,-0.14873946113492043,0.21284824138959207,0.7246643605824168
RRP1,-0.012163230182538953,0.8887976380686534,0.9785316062626682
RRP12,-0.15120896255555483,0.4381518530176275,0.8582684557777067
RRP15,-0.10449964829365221,0.4998378555202062,0.8823050518333735
RRP1B,-0.024167563666666503,0.7926096710414964,0.9614175044169735
RRP36,-0.09215355906349298,0.43562672387769863,0.8571682720709644
RRP7BP,0.010899452619048233,0.9541383004086392,0.9900669673895476
RRP7BP///RRP7A,0.029699815000001628,0.8434575365105699,0.9697809324702079
RRP8,-0.09667952291269977,0.3370572778473391,0.8055831759669
RRP9,-0.1325176459920634,0.26657083276220767,0.7631146048308066
RRS1,-0.36673047714285634,0.07276143853729825,0.5610643806785519
RS1,-0.07591805728571455,0.20040359833549568,0.7166778248376667
RSAD1,0.1341368005952388,0.19361184410463675,0.7130924950208013
RSAD2,0.054760003515872846,0.7301814789831991,0.9451327770716634
RSBN1,-0.0015695825317454393,0.9871014344048461,0.9966078609838719
RSBN1L,-0.10618936380952348,0.1893959412138183,0.709502776377244
RSF1,-0.0028388218253985187,0.9700092419915856,0.993363999696166
RSG1,0.08842751371428736,0.4405227486380251,0.8591840339151011
RSL1D1,-0.2906633003253951,0.005503337544397063,0.24344764647311787
RSL24D1,-0.35299261684126915,0.0025777321759596693,0.1977628314086634
RSPH1,0.009472042373015022,0.9177447401104493,0.9831800468738516
RSPH10B2///CCZ1B///CCZ1,-0.0676052896269832,0.5454517552724623,0.898936480943976
RSPH10B2///RSPH10B,-0.00015226097619125412,0.9987617614089384,0.999576335376961
RSPH14,-0.04175311673809512,0.6963865227874516,0.9361261453864104
RSPH3,0.14097081616666607,0.11160162836088983,0.6236573538528388
RSPH4A,-0.1903126846666665,0.08945797224624417,0.588464361765323
RSPH6A,-0.014434613142856989,0.8634339351575913,0.9738546662639023
RSPH9///MRPS18A,0.056369664626983784,0.5196096150731759,0.8898684861826722
RSPO1,-0.04713449676984194,0.650677501130806,0.9267249637234577
RSPO2,0.03687448041269814,0.6772422308257295,0.9326499969356268
RSPO3,-0.178930704817458,0.11474850350253026,0.6260116951574478
RSPO4,-0.019425838246031724,0.8249575384884419,0.9680351024600433
RSPRY1,-0.031143731087301063,0.6687501153134985,0.929388179047047
RSRC1,0.17471883119047682,0.19965549031658697,0.7166778248376667
RSRC2,0.04711763541269676,0.6132590907058668,0.9224901934811368
RSRP1,0.40671391973809534,0.06081846783356362,0.5343853478563533
RSU1,0.02588287353968255,0.8168166013366723,0.9659205626755155
RTBDN,0.03444681715873088,0.7583844938880664,0.9532561947542233
RTCA,-0.054999514698412355,0.5344139536121657,0.8949909224789816
RTCB,0.10477525451587333,0.28301148170087925,0.7740870425887384
RTEL1///TNFRSF6B,0.1217276068809543,0.17223542346468382,0.6933330406649618
RTF1,-0.19739221753968295,0.003932976385108718,0.22694730075309344
RTFDC1,0.010871849746032503,0.85682460279435,0.9724378294854178
RTKN,0.007741648801589562,0.9388914192239544,0.9867320113273442
RTKN2,0.06689415234920615,0.3504702497658111,0.812269646270367
RTN1,0.2568425622619035,0.003437636879338704,0.2196400547448773
RTN2,0.14856925288095013,0.1362700513158032,0.6530527238812429
RTN3,0.11938394045238176,0.26805420371487254,0.7641336864237901
RTN4,0.04418545522222228,0.6116332785206424,0.9224681518128597
RTN4IP1,0.1565350563809531,0.2259588438131028,0.7365240248552198
RTN4R,-0.014339065880951907,0.9229425611284424,0.984154270226513
RTN4RL1,0.2588543697063477,0.05747095289971874,0.5236242375307708
RTN4RL2,-0.11310871565079328,0.5255460518815787,0.8919755497623589
RTP1,0.029388741928571882,0.7529702266350402,0.9516081953673351
RTP2,-0.007198578317459958,0.9333289329885535,0.9858200544939124
RTP3,0.030816927833333452,0.9141088884499842,0.9824964465375312
RTP4,-0.09739153357936559,0.47959137216376724,0.876147209125156
RTTN,0.07203046200000074,0.6963231655628795,0.9361261453864104
RUBCN,0.1797789839920645,0.055381363625201366,0.5179608789542507
RUFY1,0.0754288595873005,0.3158930937986246,0.7930213364532407
RUFY2,-0.058726560444444686,0.6717111963959034,0.930754503099311
RUFY3,0.07383880523809694,0.6779429757858078,0.9330065252134097
RUFY4,-0.006834533944443777,0.9457776832668046,0.9883284076403808
RUNDC1,-0.008731862285713099,0.9121787895493425,0.9821002128180089
RUNDC3A,-0.01493514200793511,0.8724304953095848,0.9763084840046595
RUNDC3B,-0.24872873623015757,0.15974576726601591,0.6840898634447715
RUNX1///RUNX1,0.3070254391666687,0.05611144143345613,0.5198907295485913
RUNX1T1,0.293374668015872,0.10658042507949059,0.6169373411841048
RUNX2,0.292457047619048,0.004296115372836276,0.22863125467764342
RUNX3,0.16419297110317466,0.1508607442023703,0.6725084557700591
RUSC1,0.15093022287301583,0.11466445720504659,0.6260116951574478
RUSC1-AS1///FDPS,0.19606364254761832,0.035269258953476726,0.4593581750857009
RUSC2,0.0549681993015847,0.5120092472274511,0.8871212399422864
RUVBL1,-0.04941820129365038,0.640340537021637,0.9257508230180916
RUVBL2,-0.03262230984920489,0.6866485483515641,0.934990254949539
RWDD1,-0.0678690966746025,0.45782826365988905,0.8668648828800031
RWDD2A,0.0817707153095224,0.5280858413203473,0.8923583840594683
RWDD2B,-0.14568484294444328,0.15425420125472436,0.6766680235423309
RWDD3,-0.047032409777776785,0.7165198040637644,0.9414645045344108
RWDD4,-0.16769242629365078,0.06022626400684484,0.5322088792297711
RXFP1,-0.22885857737301585,0.09873361742011207,0.6061687442336919
RXFP2,-0.0088820028809522,0.8980595439262148,0.9798745913103692
RXFP3,-0.11076063179365114,0.4245784339846139,0.8518485985066241
RXFP4,0.00815977783333377,0.9438743017813955,0.9878173982473201
RXRA,0.04327474839682388,0.6734476702069596,0.9315441190568616
RXRB,0.12089345556349329,0.21626272477929562,0.7283910823449148
RXRG,-0.018229955412698562,0.838598034996686,0.9689268266618404
RYBP,-0.1293493428968242,0.23848544468447586,0.7430192667763489
RYK,-0.22186168762698344,0.01104312090517821,0.31507957317791213
RYR1,0.026427980611110957,0.6891661556861892,0.9359496478902974
RYR2,0.06762176384920604,0.38754528637596997,0.8321989019281432
RYR3,0.08060158582539634,0.16328665038920515,0.6861529788919137
S100A1,0.3095530604285712,0.0009699246136466525,0.14773481953238582
S100A10,0.0607284840079334,0.6516688000033826,0.9267249637234577
S100A11,0.38207995219841173,0.0815113926510043,0.5764638173542872
S100A12,0.22140284732539683,0.5974739023958949,0.9202974400710938
S100A13,-0.0193288790396835,0.8501479047135807,0.9706192312780447
S100A14,0.4617916284603165,0.014693582120523723,0.346050944498939
S100A16,0.11346131773809631,0.23363946753998951,0.740210899680573
S100A2,-0.07610927306349158,0.47731555836715966,0.8758004989086003
S100A3,0.07863760384920582,0.31515746519685817,0.7924081435458419
S100A4,0.30867578792063544,0.01826123339294738,0.369850316909558
S100A5,0.03955101471428524,0.5559728463182187,0.9035605211431251
S100A6,-0.12924352660317417,0.39467713361787693,0.8352095563991725
S100A7,0.23027630140476285,0.06121151493835078,0.535085657566773
S100A7A,-0.010904887269841623,0.9202668592576715,0.9837235008168961
S100A7L2,0.06054477983333273,0.5350611580867672,0.8953344923900681
S100A8,0.35705925586507803,0.4467653219477583,0.8619155681397342
S100A9,0.21208343262698381,0.49186734201693094,0.8802302141230446
S100B,-0.0851800099523814,0.5253864205661234,0.8919755497623589
S100G,0.04013097085714312,0.6029207641825334,0.9212197310128277
S100P,0.04560880573809545,0.7558218521626647,0.9528225200459959
S100PBP///YARS,0.13768842872222375,0.22532452429635438,0.7365240248552198
S100Z,-0.03456231448412561,0.7579122611866875,0.9532561947542233
S1PR1,0.027099318801587557,0.7766314753620792,0.9566316306016879
S1PR2,-0.14467486403174767,0.1454795873468774,0.6662197042332157
S1PR4,-0.005838850658730799,0.9588564957056616,0.9910532488274377
S1PR5,-0.048049229015874495,0.622109353544035,0.9241980258783418
SAA1,-1.1953255817301591,0.07004450442672044,0.5561275549426875
SAA2,-0.715583374023808,0.19163513075559815,0.7112658857108091
SAA3P,-0.1881162712142861,0.08305223884224507,0.5791020917129011
SAA4,-0.11727842860317672,0.26256106051299893,0.7607176897890747
SAAL1,-0.00912143439682378,0.9311003209829112,0.9851899436416197
SAC3D1,-0.10801898308730085,0.4483854870675825,0.8619589649835627
SACM1L,0.0661778587460331,0.5393962068036584,0.8972512132556913
SACS,-0.13708274334920567,0.4069212409574622,0.8424329835471148
SAE1,-0.013999842753968927,0.8484869383729328,0.9704383034184704
SAFB,-0.012851799055555446,0.8584992835006142,0.9726250428414542
SAFB2,0.07005828438888884,0.4615407820167723,0.8685354454118466
SAG,-0.02546392010317522,0.7583841922500016,0.9532561947542233
SAGE1,-0.002076550809523958,0.9761284552734564,0.993692487590902
SALL1,0.10634592517460462,0.25842863247968634,0.7578223633485592
SALL2,-0.028908056166666363,0.8048367491223851,0.964046617129449
SALL3,-0.05144664159523771,0.6669404821663373,0.929351024991627
SALL4,-0.04688727359523881,0.7715553673157978,0.9554502114148368
SAMD1,-0.03978832836507973,0.6971476181508425,0.9363698531039244
SAMD10,-0.11035248634127104,0.29615545357158185,0.781592357028358
SAMD11///NOC2L,0.056680005373014986,0.5370649958320359,0.8963014521601238
SAMD12,0.5632415301190479,0.006461992799656417,0.25750694852690326
SAMD13,0.11509410940476217,0.20086597340445467,0.7166778248376667
SAMD14,0.08124008907936453,0.3772873880855905,0.8280172669541321
SAMD15,-0.007561856023809543,0.9464291257418846,0.9884481778361333
SAMD3,0.07412212323016032,0.5494340965406118,0.9008530876170607
