symbol,z_GSE48452,z_GSE63067,z_meta,p_meta,padj_meta,log2FC_meta,log2FC_1,log2FC_2
AATK,-0.056135928180576646,-0.18582299984390277,-0.1710907987747372,0.8641523707140181,0.9761599389850009,-0.0120150350476189,-0.0067284226031745,-0.0173016474920633
ABAT,-2.518121515089623,-1.2010619952464046,-2.629859880635793,0.008542006735733963,0.2884887170852317,-0.24404859768650944,-0.2579942570873044,-0.2301029382857145
ABCA1,-1.5282288800230261,2.3508143582462813,0.5816557697572429,0.5607985695819961,0.9077605286295729,0.327873976166666,-0.1729069653174608,0.8286549176507929
ABCA11P,-0.3394068438936398,-0.2414578823689861,-0.4107333868923705,0.6812680427406623,0.9377051008021766,-0.0339159304126974,-0.0479053599999996,-0.0199265008253952
ABCA12,-0.6001526957759825,-1.0428987200796267,-1.1618127979896595,0.24531151437687215,0.7676124940911621,-0.0526898273968252,-0.0402317360952375,-0.0651479186984129
ABCA13,-2.4150243829910076,-0.24445432069074247,-1.8805354257945746,0.06003514299416146,0.5408838143692882,-0.15984106710317483,-0.3018551553968258,-0.0178269788095239
ABCA2,3.1827616718626235,0.211387790430346,2.400026101148033,0.01639390283990703,0.3653683240820333,0.24433232473412841,0.4657457867380978,0.022918862730159
ABCA3,1.0858274658358016,-0.9074820602614467,0.12610924567509144,0.8996454489135852,0.9811269003515889,-7.87182142856016e-05,0.0976297100952372,-0.0977871465238084
ABCA4,1.1778205291088728,-0.2946460438091545,0.6244986675263697,0.5323001451380304,0.8980179141780835,0.03512848840476179,0.094392142936508,-0.0241351661269844
ABCA5,1.2095775792302952,0.867297099024826,1.4685721686688253,0.1419488682714559,0.6731046838695185,0.18563026867063437,0.1491563561349185,0.2221041812063502
ABCA6,-2.4054271962882927,-2.63430701792013,-3.5636302382446323,0.0003657610904621813,0.060739949654230095,-0.3273837601150795,-0.310321517738096,-0.344446002492063
ABCA7,3.041112000851798,-0.5242474925242713,1.7796919611661401,0.07512638678490284,0.5693979633655525,0.1076737279166666,0.2692501734365073,-0.0539027176031741
ABCA8,-0.9070905691262141,-0.9812485685794944,-1.3352574094516643,0.18179211298164843,0.7180958044970059,-0.1496474969880941,-0.1332832730714273,-0.1660117209047609
ABCA9,-0.5019735591658917,-0.6026539782960769,-0.7810896224247552,0.4347497850495985,0.8643218062814989,-0.1288900545833322,-0.1203298060238093,-0.1374503031428551
ABCB1,1.2816006345798578,0.7274091741959816,1.420584459255685,0.15543759904461116,0.687954547326267,0.1945531706626999,0.2177990306746053,0.1713073106507945
ABCB10,0.9876923808288439,2.146823899800861,2.2164377177728993,0.026661538941918854,0.4244296490584789,0.2497635708134926,0.0872612379126982,0.412265903714287
ABCB11,-3.867439513164247,-2.3568836058006686,-4.401261085716294,1.0762352855630578e-05,0.007291709306746829,-0.6054871975,-0.6306373382698407,-0.5803370567301593
ABCB4,0.9233477121077024,-0.42659699010296864,0.3512558040888608,0.7253964482618029,0.9478365886151713,-0.013740070523810197,0.1690998742063492,-0.1965800152539696
ABCB5,-0.5474644612460836,-1.1455364857722627,-1.1971324501919196,0.23125493359579585,0.7600724549250016,-0.07193716136904729,-0.0382562446587297,-0.1056180780793649
