symbol,log2FC,p,padj
DNAL1,-0.06287357065079302,0.4668192971382127,0.8620473118945348
DNAL4,-0.15631110801587322,0.13926927536932066,0.7018500911128449
DNALI1,-0.20297150774603168,0.22434416781387817,0.7510155803527048
DNASE1,-0.027278886507937194,0.824490965318431,0.9677277680936163
DNASE1L1,-0.22870594025396862,0.07065201538556802,0.6364727085634594
DNASE1L2,0.023447168603174084,0.8601978195221565,0.9730286203801555
DNASE1L3,-0.10374872719047623,0.6466827004973281,0.9242510036164718
DNASE2,0.1358759605555555,0.48269145284065373,0.8679177670564312
DNASE2B,0.05408916169841271,0.590481023435078,0.9070218416006468
DND1,-0.44683065996825455,0.03273905978311077,0.5817512046285952
DNER,0.08723185355555518,0.27831937686375163,0.7787648968061697
DNHD1,-0.10209439720634972,0.3806216706004094,0.8273688603895871
DNLZ,0.05960311339682445,0.8146123297130211,0.9668774469697147
DNLZ///CARD9,-0.15714445626984208,0.11996697668372357,0.6895895005009961
DNM1,0.03240355790476368,0.8265374202747604,0.9684946604875927
DNM1L,0.4100830545555567,0.05468252930943078,0.6143621966982183
DNM1P35,-0.0787184850317475,0.3380428027161527,0.8072949429531585
DNM1P41,-0.0016226662698413108,0.9813655008336849,0.9949788562556273
DNM1P46,-0.030051461555554937,0.6828259370927834,0.9358290684624433
DNM2,-0.14340029563491985,0.39520445838925944,0.8354965178555304
DNM3,-0.06684751501587272,0.414569686554101,0.8425864924062072
DNM3OS,0.03356396249206295,0.8639000419821317,0.973905055598462
DNMBP,0.6062413757301579,0.009022181658520633,0.5059831934705878
DNMT1,0.10781406122222315,0.5439753661571443,0.8940940296045092
DNMT3A,-0.10403250744444303,0.3970563499384743,0.8362076071359914
DNMT3B,-0.16646729847619124,0.14764839602498978,0.7093523096978085
DNMT3L,0.5932537161111107,0.016315604072080655,0.530808182913452
DNPEP,-0.059432047349206485,0.7502333097580167,0.9515312892697387
DNPH1,-0.08418679057143041,0.6927770275980121,0.9369760737152437
DNTT,0.11539284685714302,0.24752999310243753,0.763146854224931
DNTTIP1,0.37270819795238186,0.098088437949807,0.6687262679170487
DNTTIP2,0.3127046475714277,0.09440945210174298,0.662741695995859
DOC2A,-0.20922101126984138,0.02921678048805768,0.5783150243082175
DOC2B,-0.08517522225396856,0.39812342236455134,0.8365177299733287
DOCK1,-0.2487781993015874,0.03680862994605007,0.5863221032827746
DOCK10,0.3462785368095238,0.012932602983944457,0.5159955644712118
DOCK11,0.3042789733333331,0.17219940135430223,0.7268039506798818
DOCK2,0.34637652792063545,0.07361484572759594,0.640730323285073
DOCK3,-0.0396721133174589,0.6077232638489257,0.913031193655591
DOCK4,-0.18142491223809554,0.4806033377721701,0.8667891946538797
DOCK4-AS1,-0.0025350466507942926,0.9736132988878309,0.9939937060615371
DOCK5,0.763122685809523,0.138446577797655,0.7014552659503416
DOCK6,-0.027007828746031137,0.7989810858258342,0.9636610134991892
DOCK7,0.20207614355555492,0.34783422612213133,0.8117438128085526
DOCK8,0.3077093613492057,0.3332926743339697,0.8053091159172863
DOCK9,0.22449209573015771,0.23813609550061557,0.7570468402805235
DOCK9-AS2,0.04819498403174638,0.6579586538135815,0.9279631623395393
DOHH,-0.04535792999999977,0.7459398163907787,0.9499947034874395
DOK1,-0.053758687222221546,0.6784816399172525,0.9347922451489546
DOK2,0.04796685698412784,0.6714379522216523,0.9321028009278115
DOK3,0.33323239498412827,0.12382380005497427,0.6920776284605639
DOK4,-0.38583937196825424,0.05142532068114164,0.6014095981352888
DOK5,0.15380414790476316,0.7594510881187913,0.9551357588997256
DOK6,0.117197067396825,0.34541967197550527,0.81058047978338
DOK7,0.03504999203174641,0.7007153443445043,0.9388117024336342
DOLK,-0.13462538879365216,0.2794798563849131,0.77975476527181
DOLPP1,-0.23492813126984124,0.04380736794168176,0.5909222990647279
DONSON,-0.16624674560317398,0.3097557309073735,0.7938519188153974
DOPEY1,0.0885794888095246,0.5099897534751217,0.8795150006502334
DOPEY2,-0.015838926285714372,0.9543310579029314,0.9897085721111962
DOT1L,0.02286892017460307,0.8569326789089,0.9721399038235055
DPAGT1,-0.33593523558730176,0.0875514382587766,0.6510317907251991
DPCD,0.025558543999999905,0.8460114098424385,0.9697399828884555
DPCR1,-0.17554592538095237,0.045485637344320595,0.5909222990647279
DPEP1,-0.008049810904762644,0.9378425801724086,0.9892657634002013
DPEP2,0.466617710396827,0.029574639919794213,0.5790825361691903
DPEP3,-0.075501570238095,0.4765650379367653,0.8665360455053054
DPF1,-0.03804695050793683,0.7023425201600667,0.9389272483621225
DPF2,-0.07087625463492042,0.6390390116616642,0.921389124431995
DPF3,-0.021052736698412566,0.870652538929895,0.9755225088291519
DPH2,0.17679813619047557,0.09975451677222195,0.6707787136519849
DPH3,0.4512838265714265,0.07535771337971153,0.6419856572986432
DPH3P1,0.0764418242698417,0.43310874129658194,0.8513047686432967
DPH5,-0.2875827711428567,0.09880116500130305,0.6700584467352753
DPH6,0.011311565301586946,0.9362363723192217,0.9892013214343901
DPH6-AS1,-0.06716987487301651,0.3695169145922047,0.8218019687079327
DPH7,-0.04167587874603118,0.6438269034510455,0.9232945884783693
DPM1,0.34923693684127066,0.030403966882270463,0.5790825361691903
DPM2,-0.25367682968254,0.33919092094073733,0.8072949429531585
DPM3,0.008872896761904947,0.9547737485323375,0.9897085721111962
DPP10,-0.0037353078888884284,0.9546107892767742,0.9897085721111962
DPP10-AS1,-0.02315407928571478,0.7854849537735918,0.9594046282823697
DPP10-AS3,0.009210620650792922,0.903782290314004,0.9839846122026055
