symbol,z_GSE48452,z_GSE63067,z_meta,p_meta,padj_meta,log2FC_meta,log2FC_1,log2FC_2
ISM1,3.633565384148211,1.7555915095016663,3.810709384378058,0.00013856858941083117,0.03485481860964238,0.7290825898571422,0.9826481159999992,0.4755170637142853
ITIH3,-3.9395047901023403,-2.2627769182088775,-4.3856754547761465,1.1562641219683937e-05,0.007532616037654097,-0.5802701053055568,-0.5480878352619047,-0.6124523753492088
ITIH4,-2.6651315111316567,-3.2932550867031454,-4.213215568260032,2.5176057098695696e-05,0.012922183489021445,-0.5440746219761907,-0.2166005938888897,-0.8715486500634917
KLHL29,2.180963353705198,3.2240855318645822,3.821946719631183,0.00013240230080934908,0.03397924501679932,1.1221470577182533,0.3855611903571416,1.858732925079365
MAMDC4,3.1652763871876077,3.13138657595902,4.452413080087161,8.491061600952204e-06,0.00684864768556802,0.8367683800238099,0.8817772733333342,0.7917594867142856
ME1,4.092316002444746,2.4783877469023246,4.646189178331187,3.3812295350227268e-06,0.003579454116513434,0.8972037201031742,1.0957165555714292,0.6986908846349191
MEP1B,3.9069064930928916,2.983385076306455,4.8721718930747775,1.1037806838188287e-06,0.002077315246947036,1.1270619456269837,1.3412950798412684,0.912828811412699
MMP9,3.0781844317944125,2.346277712688974,3.835673966653925,0.00012522043261662893,0.032630518271699396,0.8853508828253971,0.9906400313809528,0.7800617342698413
NEBL,3.6173191885648275,3.6193263698802736,5.117081147420041,3.10300143894681e-07,0.001234646069269426,0.7770328202817449,0.5861798652142838,0.967885775349206
NT5E,-3.421053192380818,-3.2379183309437045,-4.7086039198708844,2.4941919613308944e-06,0.0030669525753353405,-0.6280968388730157,-0.5137111848253966,-0.7424824929206348
P4HA1,-4.14882318708508,-1.8552818667542292,-4.245543398526197,2.180642951960862e-05,0.011914751716230026,-1.2429490363928553,-1.3783395954999982,-1.1075584772857123
PAIP2B,-1.726603324761223,-3.5307152072058443,-3.717485584811618,0.00020121546414609924,0.0428664388817205,-0.5181658857619045,-0.3385465677142854,-0.6977852038095236
PC,-3.7009840252857176,-1.6080981135016668,-3.754087982212939,0.00017397375274217925,0.0396457947292151,-0.5487314684841271,-0.4783057267619064,-0.6191572102063478
PDE11A,3.422940156349496,3.2413431374889727,4.712359908821403,2.4486441147332856e-06,0.0030669525753353405,1.05458906781746,0.938766317174604,1.170411818460316
PEG10,3.753021156743543,3.0540037920262653,4.813293500981143,1.484629993079207e-06,0.0025146662822775607,1.5752189416349198,1.9320198802857125,1.2184180029841274
PKLR,2.425528158401628,3.0122412326187304,3.8450836109191386,0.00012051134030063652,0.03189407940644033,0.679286926607142,0.5609607020873,0.7976131511269839
PLEKHA7,2.1476870376149995,3.304833641287704,3.85551434661198,0.00011548655720690147,0.03122789084084425,0.6237237191150782,0.2249076554999973,1.022539782730159
PLIN1,2.9215820568670194,3.553428950209683,4.578524191361473,4.682680157129066e-06,0.004174486131655374,1.1153288510198403,0.8206707815476184,1.409986920492062
PPM1K,-3.5466357207671972,-2.1549825642638654,-4.031652953082678,5.5385932725151556e-05,0.021816905313921327,-0.6884155992857143,-0.9255434294126984,-0.4512877691587302
SCLY,-2.4261135404851513,-4.228180783806528,-4.705296640717801,2.5349708380384207e-06,0.0030669525753353405,-0.595422389960317,-0.2266434950317455,-0.9642012848888886
SGCB,3.539620040741032,2.1154200874970726,3.9987172225592076,6.368671474945419e-05,0.02399298368215898,0.6439786449563494,0.64155015797619,0.6464071319365088
SGCE,2.014167941815268,3.6220748631146553,3.9854255077798366,6.735930746596874e-05,0.02480286847518649,0.8556656449960314,0.4815732979444433,1.2297579920476194
SH2B3,3.0038439179951704,2.9227038783731185,4.190702135838208,2.7809254078534312e-05,0.013458089873777546,0.5119818283690489,0.3170217678492069,0.706941888888891
SHBG,-3.2655302956148273,-1.989579160258919,-3.7159235321258746,0.000202462812052051,0.0428664388817205,-0.9069615444682538,-1.008495863428572,-0.8054272255079358
SLC51A,-3.0938146325312483,-2.8748135495610625,-4.220457461938608,2.4380706112754442e-05,0.012905012504307336,-0.7977233557420651,-0.6691542270396855,-0.9262924844444448
SRD5A2,2.4665975227299874,3.2747802393555885,4.059767148924355,4.912167750411344e-05,0.020011230310234357,0.9099110338928575,0.7268188748650815,1.0930031929206336
SULF2,4.102082367129654,1.2199178505018042,3.763222443363486,0.00016773787552797133,0.03930661489706024,0.7542347753650795,0.9675583523492062,0.5409111983809529
TMEM154,4.4358756204210055,4.0883672715586155,6.027549953400017,1.6646380924910223e-09,2.8195640010612934e-05,1.4380688097301602,1.550670995365082,1.3254666240952382
TPSB2///TPSAB1,3.296338263211568,2.166365695169172,3.862715012585617,0.00011213379547785644,0.03122789084084425,0.5135595604166667,0.5899924531666665,0.4371266676666669
TSPAN3,4.77576400328591,2.3760417267193614,5.0570903294155345,4.2570162965515567e-07,0.001234646069269426,0.6126151365515877,0.5212270829444448,0.7040031901587307
UGT2A3,2.942187765213545,3.3000044984828865,4.413896479129953,1.0152652085794953e-05,0.007291709306746829,0.9742635350119055,0.6838331877222235,1.2646938823015876
