herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem,fxr_mu_pIC50,fxr_sigma,leverage_h,confidence_weight_w,tier,dG_THRB,dG_ACC,s_FXR,s_THRB,s_ACC,w_conf,CW_BCS,flag_FXR_active,flag_THRB_good,flag_ACC_good,n_targets_covered
Silybum marianum(水飞蓟),Neosilyhermin B,OK,UNCERTAIN,42607998.0,COC1=C(C=CC(=C1)C2C(C3=C(C=CC(=C3O2)O)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4,6.218,0.627,0.0857,0.615,OOD_warning(域外预警),-8.137,-8.763,0.49464173145618834,0.8565115500502178,0.5843188786684188,0.6146281499692686,0.5339,False,True,True,2
Glycyrrhiza uralensis(甘草),Neoliquiritin,OK,,51666248.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O,C21H22O9,418.4,0.28,5.0,9.0,True,,418.4,6.207,0.855,0.106,0.539,OOD_warning(域外预警),-8.678,-9.158,0.49233032149611267,0.8927351858051559,0.6419915316104541,0.5390835579514824,0.5338,False,True,True,2
Glycyrrhiza uralensis(甘草),Liquiritin,OK,,503737.0,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C21H22O9,418.4,0.28,5.0,9.0,True,,418.4,6.168,0.883,0.106,0.531,OOD_warning(域外预警),-8.515,-9.299,0.4841353225467536,0.8818212253096754,0.6625784786100161,0.5310674455655868,0.5316,False,True,True,2
Glycyrrhiza uralensis(甘草),Glyasperin C,OK,,480859.0,CC(=CCC1=C(C2=C(C=C1O)OC[C@H](C2)C3=C(C=C(C=C3)O)O)OC)C,C21H24O5,356.42,4.04,3.0,5.0,True,,356.4,5.936,0.576,0.0125,0.635,in_domain_high_conf(域内高置信),-9.122,-8.718,0.43538558520697634,0.9224640107130903,0.577748576434516,0.6345177664974619,0.528,False,True,True,2
Salvia miltiorrhiza(丹参),Sugiol,OK,,94162.0,CC(C)C1=C(C=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C)O,C20H28O2,300.44,5.19,1.0,2.0,True,,300.4,5.787,0.64,0.0182,0.61,in_domain_high_conf(域内高置信),-8.452,-9.323,0.40407648665686074,0.8776029460997656,0.666082639801431,0.6097560975609756,0.5242,False,True,True,2
Salvia miltiorrhiza(丹参),Miltirone,OK,,160142.0,CC(C)C1=CC2=C(C3=C(C=C2)C(CCC3)(C)C)C(=O)C1=O,C19H22O2,282.38,4.11,0.0,2.0,True,imine_one_A(321);quinone_D(2),282.4,5.342,0.399,0.0213,0.715,in_domain_high_conf(域内高置信),-8.03,-9.988,0.3105694473628913,0.8493471710746568,0.7631771061468827,0.7147962830593281,0.524,False,True,True,2
Salvia miltiorrhiza(丹参),Przewalskin,OK,UNCERTAIN,14139389.0,CC1=CC2=C(C=C1O)[C@@]34CCCC([C@@H]3C[C@@H]2OC4)(C)C,C18H24O2,272.39,4.24,1.0,2.0,True,,272.4,6.27,0.777,0.0302,0.563,in_domain_low_conf(域内低置信),-8.526,-8.675,0.5055683967220004,0.8825577502510882,0.5714702876332313,0.56274620146314,0.5235,False,True,True,2
Silybum marianum(水飞蓟),Silyhermin,OK,,10389806.0,COC1=C(C=CC(=C1)C2C(C3=C(O2)C(=CC(=C3)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O9,466.44,3.43,5.0,9.0,True,,466.4,6.131,0.62,0.0857,0.617,OOD_warning(域外预警),-7.721,-8.777,0.4763605799537719,0.8286575159022432,0.586362972696744,0.6172839506172839,0.5228,False,True,True,2
Salvia miltiorrhiza(丹参),Cryptotanshinone,OK,,160254.0,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C19H20O3,296.37,3.44,0.0,3.0,True,imine_one_A(321);quinone_D(2),296.4,5.42,0.435,0.0287,0.697,in_domain_high_conf(域内高置信),-8.283,-9.656,0.32695944526160964,0.866287244727151,0.7147028763323114,0.6968641114982578,0.5206,False,True,True,2
Silybum marianum(水飞蓟),Silandrin,OK,,441663.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=CC(=C3)[C@@H]4CC(=O)C5=C(C=C(C=C5O4)O)O)CO)O,C25H22O9,466.44,3.39,4.0,9.0,True,,466.4,6.261,0.614,0.0636,0.619,OOD_warning(域外预警),-7.152,-8.669,0.5036772431183023,0.7905590893873452,0.5705942473353776,0.6195786864931847,0.5202,False,True,True,2
