,log2FC,p,padj
BLOC1S3,0.42844393539263415,0.020712773835844047,0.04540585237714279
BLOC1S4,-0.7031673636031792,1.1085093876713216e-05,0.0002375435043864642
BLOC1S5,-0.16007623520682923,0.16552801904861295,0.24285443776312393
BLOC1S6,-0.5499654591450458,6.216860116610533e-05,0.0006797203750106263
BLTP1,0.1884756158715355,0.04092293777408052,0.07824675106010774
BLTP2,1.3187269836725282,4.5146993967892295e-07,3.5557988722136965e-05
BLTP3A,0.12881340010507003,0.10188116137633892,0.16428134308973713
BLTP3B,-0.178678777742725,0.0392345598640926,0.07554562522213584
BLVRA,-0.33482962220500934,0.06931526949718467,0.11986638702293845
BLVRB,0.27832035954149603,0.039621944187501285,0.07618000758634767
BLZF1,-0.11228876891750073,0.43301927941951146,0.5268247694204823
BMAL1,-0.305313260156443,0.4737491992640326,0.5654467529872795
BMAL2,0.35557823176258463,0.23590942838878898,0.32244795922246094
BMERB1,0.0009738367908287415,0.9903889216915422,0.9934627502787905
BMF,-0.015435398589640492,0.9500047880294535,0.9640137482380938
BMI1,-1.4472876035311373,9.865738243384055e-08,1.4531594809763935e-05
BMP1,0.2903012417483648,0.2060572231144258,0.28915722347423906
BMP10,1.7411998255059271,0.004456707338432204,0.013648212252013686
BMP2,-0.6829737098254984,0.00915460336535255,0.023730882551139552
BMP2K,-0.5131143509725167,0.004257844852668391,0.013189692262634797
BMP4,-0.11873687267288524,0.47507863023608965,0.5664680648622326
BMP5,0.052620978671759744,0.8208381729114422,0.8617883531532726
BMP6,0.2323313927664783,0.4864392869711852,0.5769283986954011
BMPER,-0.5455109407560981,0.016398137079386952,0.03756264315659641
BMPR1A,-0.5162311208921349,0.0004063023710645637,0.0023878887786470985
BMPR2,-0.651204023001899,6.789467518542997e-06,0.00018301196935544624
BMS1,0.32341140719591976,0.0016203725131993369,0.006390632583541492
BNC1,-0.8119109680280516,0.20245834205762256,0.285355183570929
BNC2,-0.372989906931918,0.28339808880448153,0.3738556503738866
BNIP1,-0.08691029115870741,0.49058287691523095,0.5807953717431172
BNIP2,-0.5027000167089781,0.001201684495098219,0.0051364010066885695
BNIP3,-0.8148753087687801,2.659433548133454e-06,0.00010599857411696763
BNIP3L,-0.5772201654227036,0.001272150949533863,0.005361294918045147
BNIPL,-0.2882261776815578,0.28316693583475105,0.37368262336053787
BOC,-0.6291155454774611,0.09133180584002154,0.15058450114356312
BOD1,-0.07676655619504835,0.3984262593575202,0.4927134815089755
BOD1L1,0.10009109437543628,0.2447679269619216,0.33251730461992923
BOK,0.4053100617116474,0.03639149114192686,0.07130303634586087
BOLA1,-0.36662680112286594,0.01668009981072543,0.03809573759515048
BOLA3,-0.27776429088650634,0.07862940742147591,0.13317185112215718
BOP1,0.6931212976757308,0.0029791136643427325,0.01007036603060994
BORA,0.02843920928505117,0.9088901515438521,0.9319170691655977
BORCS5,0.6113877091932132,0.000687614871380385,0.003447341990231073
BORCS6,0.5486586517418752,0.0020515468123511555,0.0076182934000154565
BORCS7,-1.4260932372321378,2.0865105085018839e-07,2.306207791455906e-05
BORCS8,-0.1826499815150191,0.08544694743053674,0.1425163200042924
BPGM,-0.10287658563756352,0.5349099603858407,0.6213583617098487
BPHL,-0.06813303443265539,0.46640179149851535,0.5587560582548476
BPI,-1.063467399400503,0.014562340548835023,0.034246711951527106
BPNT1,0.29949697300141764,0.002494101081678882,0.008783108842656581
BPNT2,-0.2936511691492658,0.013787749086782281,0.032846918516502704
BPTF,-0.01572528717262678,0.8514442555604929,0.8862809665548562
BRAF,-0.3768340558145429,0.003795385973803796,0.01212256233934952
BRAP,-0.010493653057142893,0.873449175921346,0.9036794628249402
BRAT1,0.7724084918820306,0.0022686311173720267,0.008212788894262227
BRCA1,0.11462656393727322,0.4835981825588662,0.5743874747333184
BRCA2,0.26629848976657566,0.3249561783300797,0.41792596681605454
BRCC3,-0.025964459666174555,0.7130537149595364,0.7754274917621151
BRD1,-0.07564961844858242,0.5290121726945755,0.6155429146719524
BRD10,-0.12311013625272693,0.3228772073970777,0.41590479961744814
BRD2,0.4555475873489261,5.7391454149637005e-05,0.0006434858023328274
BRD3,-0.13451501072227146,0.20703892374635852,0.29015296121217327
BRD3OS,0.053362368730693,0.5879796467170151,0.669468169431172
BRD4,-0.04518112295955845,0.7567336004195339,0.8107287648707444
BRD7,-0.1324213062263464,0.09726629065142413,0.15841301646089417
BRD8,-0.14113431155335654,0.31282450248727456,0.4051778120349702
BRD9,0.13292349935206804,0.2559604513299363,0.34455509327015166
BRF1,0.8184367038911322,0.004419500357627074,0.013565854890051085
BRF2,0.6138043250741942,0.00017248641001079893,0.0013290648804171286
BRI3,-0.6156095523014464,0.004579341891361119,0.013923274132471753
BRI3BP,0.34616318975927474,0.005552476935866924,0.016143176201913717
BRICD5,1.3532818184422735,1.1780128962704228e-05,0.0002459429146769027
BRIP1,-0.09109281651387224,0.6976628089206879,0.7629699872244056
BRIX1,-0.5724033194187221,0.000902095420597976,0.004188231933330455
BRK1,-0.24415423929794855,0.03461924306343352,0.06853505478828133
BRME1,0.8211538588210239,0.016816237664703384,0.0383733473289111
BRMS1,0.2930857708452832,0.013206053714190206,0.03170272394647632
BRMS1L,-0.3277261539277916,0.04559518583425574,0.08545361631204983
BROX,-0.6016736097103514,0.0003137270901431919,0.0019915310891184374
BRPF1,0.47737369537267504,0.001892333092335508,0.00715842886496662
BRPF3,0.5450738256708885,0.0004604693155531151,0.002586060165444117
BRWD1,-0.6298413225947836,2.954608404646266e-05,0.00042799520205189797
BRWD3,-0.13074567669184312,0.20705357666976798,0.29015296121217327
BSDC1,0.2701395253162584,0.007570697570650078,0.020463909812322333
BSG,0.7105699005483128,0.0035191948572028875,0.011443255860763803
BSN,0.47478046020984,0.030952320542158407,0.06294308473886975
BSPRY,1.0005843747302539,0.0019121800713952318,0.007214832036449078
BST1,-0.3207499622621457,0.09218391211246023,0.1516756312253177
BST2,0.15966961721649575,0.5793971591739846,0.6621034608701494
BTAF1,0.09224872559504327,0.4938666383524509,0.5836323355121102
BTBD1,0.08045888088365949,0.535494841546444,0.6218207513781564
BTBD10,0.17483695198105753,0.15156678401145596,0.22607823884131098
BTBD16,-0.573401594813693,4.913545857988394e-05,0.0005848675897748538
BTBD19,0.006277487981634522,0.9656274016854196,0.975566265793711
BTBD2,1.1717093146124036,0.0032153163740289963,0.01067147521261756
BTBD3,-0.22881159674115725,0.03567881222780284,0.0702204724273965
BTBD6,0.13969147470436205,0.11972926698003518,0.1868975846888681
BTBD7,0.07538800235556842,0.5399430344529024,0.6260464326656404
BTBD9,0.4711151118568049,0.012906750782009887,0.03112145878959937
BTC,-0.4733487884235412,0.07898111350529101,0.13366425449499392
BTD,0.32417461521920643,0.04822810429478896,0.08948289685278024
BTF3,-0.5716362999824742,0.00033914818230913567,0.002107065537188498
BTF3L4,-0.560711444208664,0.0022301163217987867,0.008102961320613104
BTG1,-1.3165283151748177,8.107128375216065e-06,0.0002028168463107033
BTG2,-0.25819904998415844,0.5033824439047069,0.5922702643061641
BTG3,-0.94906782329784,0.0004414836022367398,0.0025225168636923713
BTK,-0.27901399661953263,0.24143562860236337,0.3284313603275298
BTN2A1,-0.03273927541881605,0.7656853961410517,0.8181202287118808
BTN2A2,0.40919614005076976,0.01649656406900028,0.037739038846318344
BTN3A1,-0.0624608622739764,0.5847618873854559,0.6670748573097052
BTN3A2,-0.33050127912638416,0.0020636185126143357,0.007648006282450369
BTN3A3,0.35862956653275546,0.03280975326968186,0.06580461798660041
BTNL9,-0.6688331325918009,0.011762249814901047,0.028847449527390167
