,log2FC,p,padj
PAPOLA,-0.38936037786738,1.756059706915572e-05,0.00026857503866349445
PAPOLG,-0.29143524164280343,0.01195055458106525,0.03025127875380124
PAPPA2,0.3948578557661251,0.5381410538492719,0.6265530035655017
PAPSS1,-0.21366068807918737,0.14480459418502947,0.22225119496032716
PAPSS2,0.03850744426883779,0.7070769425168072,0.7736613447236973
PAQR3,-0.24488429417120638,0.375648643862164,0.4738569687080697
PAQR4,1.67203494135669,3.0242061378138926e-05,0.0003907405042305121
PAQR5,1.8847209102680633,8.115358337138404e-05,0.0007613502725276849
PAQR6,0.6652472420126321,0.10561291314100135,0.17294903467923192
PAQR7,0.4712643495089406,0.01853034303205579,0.04300857630150517
PAQR8,0.03336514773742305,0.8731016938911977,0.9071016255727428
PAQR9,0.15774129836823736,0.2986389393831059,0.39600745737533943
PARD3,0.20108282460836868,0.02571508120094167,0.055730839188661355
PARD3B,0.5633755255218214,0.0002789972378935421,0.001854295437096392
PARD6A,-0.11229649715570478,0.5255412684286704,0.6155885923628375
PARD6B,-0.9960485386645832,1.0475554290414158e-05,0.00019739966415733155
PARD6G,-0.45765219877657337,0.0569905228168453,0.10522127268528443
PARG,0.21956473660971731,0.017755224813895267,0.04154678384222815
PARK7,-0.3258261897419512,0.006845803146039249,0.01942672034085313
PARL,-0.4180692004717219,7.478465508475849e-05,0.000722204528876526
PARM1,-0.20247354398520834,0.5341757937489523,0.6229840588029765
PARN,0.4951586503966965,0.00021091657309955903,0.0015205377321029262
PARP1,0.4761938682006974,1.0077202894485278e-06,4.418181655705495e-05
PARP10,1.4222804384280794,0.001250451326996923,0.0054478921179167035
PARP11,-0.049679011437608445,0.6225791079691911,0.7025380067878149
PARP12,0.20065283595651806,0.13550947421429652,0.2103310548067685
PARP14,0.35291305194972544,0.010850669690899867,0.02805560417621505
PARP15,-0.32502583568361487,0.26548395269333397,0.36140658556980143
PARP16,-0.31154711676190594,0.0019359788714890648,0.007535936696269804
PARP2,0.2721273974585827,0.007470705136916916,0.02081157947134525
PARP3,0.4898211617318644,0.019696844670631965,0.04509531731119621
PARP4,0.6938069602918642,2.1259872287668964e-08,3.2141505770081597e-06
PARP6,0.21519430808812245,0.3655881180841669,0.4639695597415136
PARP8,-0.10093906960722077,0.40821363250141385,0.5059110438416184
PARP9,0.1513709836273307,0.12198722855750933,0.1934528595631686
PARS2,0.6984462203965442,0.0005505588004622206,0.0029800411121315177
PARVA,0.2273119653348008,0.033030286154573506,0.06806319188330022
PARVB,0.23333038489575664,0.3753837281385499,0.4735682117980383
PARVG,-0.009016766522648823,0.9561904737544656,0.9685304786795602
PASK,-0.43352954369426744,0.011552755882683147,0.02945975147827286
PATJ,-0.04137666231504866,0.6856917858705434,0.755858536670739
PATL1,0.036105730977476824,0.566410255277943,0.6532217525357986
PATL2,-0.1972449256938118,0.38269626435751425,0.48085632070064815
PATZ1,0.004628857911487927,0.9616578089934711,0.9724637678770579
PAWR,-0.6667377983381577,0.0007670863075691914,0.0038027312547446613
PAX8,0.38675481371915854,0.2812171979283194,0.3780508794308243
PAXBP1,-0.5406137248907701,0.008302675860773602,0.022635323810975043
PAXIP1,0.16786495161585968,0.03514812218363957,0.07133208626468313
PBDC1,-0.0692952550256054,0.3790882646835452,0.47731559010701924
PBK,1.4008715248296282,0.009604168927347445,0.02546334083882301
PBLD,-0.983705906940699,7.55805890717546e-07,3.641434022200689e-05
PBRM1,-0.2790281494534703,0.032676670204174973,0.06752494001500603
PBX1,0.23718394307825452,0.31721427322009377,0.4150322625747432
PBX2,0.230995896593166,0.02249694747173596,0.05005114176179687
PBX3,-0.7548698655886756,8.433730358590975e-05,0.000783564417265539
PBXIP1,0.08174910421078962,0.4544287180075519,0.5506311310873635
PC,0.2830932436001792,0.041882275855719284,0.08212247679342215
PCBD1,-0.30904236520231265,0.0035125745691897852,0.011714222441316745
PCBD2,-0.3132420234540829,0.0036386938111557625,0.0120341311788111
PCBP1,-0.46227313311399953,0.0005994673457074064,0.0031704036984678396
PCBP2,-1.4652119107347055,6.576584960033388e-12,6.178701569951368e-09
PCBP4,0.5984948431511024,0.003404728801063069,0.011434438660932217
PCCA,0.021576704555458903,0.7625919596986407,0.8194748403526325
PCCB,0.4437173298554722,0.0004529409267804233,0.002600406813593587
PCDH1,0.5960791428621253,0.0032489463287530555,0.011033666682697894
PCDH12,0.2702569321364372,0.27190659805697814,0.3685097871451245
PCDH17,-0.5070087384913258,0.10322426153332756,0.1697348058442127
PCDH18,0.30571030161255397,0.17205533587255362,0.2560134520448708
PCDH7,-0.6259395548357434,0.011514721883012731,0.029374153787289844
PCDH9,0.08818530523179291,0.7206270153766019,0.7847013108078852
PCDHAC2,0.8136599239791629,0.0834599880340749,0.14286168956431378
PCDHB14,-1.1100602600600022,3.290401070235285e-06,9.208222399320151e-05
PCDHGA10,0.07696344065151539,0.6908520901146346,0.7602089468148404
PCDHGA2,-0.587871530443552,0.0033243453604962668,0.011246171431740585
PCDHGB4,1.179486228436962,0.0063219465667597825,0.018311509181367855
PCDHGB5,0.18491790394118235,0.4149482568916164,0.5123960189378648
PCDHGB6,-0.5425610911721037,0.008504894979785554,0.023093493738463953
PCDHGC3,1.3456807140040175,0.006142074910813077,0.017889284540107037
PCED1A,0.14101620127833137,0.4892095813049605,0.583423122939899
PCED1B,-0.1079642338861353,0.5264496572357267,0.6162684533305014
PCF11,0.0200754122324156,0.860350070309023,0.8970106848203144
PCGF1,0.10127804979261068,0.23777864133364332,0.330789685038852
PCGF2,-0.25904109065821945,0.10440954331415564,0.17119156360148208
PCGF3,-0.12424665719026251,0.2876193846083119,0.3848664234929315
PCGF5,-0.6671460340507682,7.717567941336873e-06,0.0001611984380561094
PCGF6,-0.6420466745547317,2.120021606689819e-06,6.868138963741671e-05
PCID2,-0.13708314004240307,0.12902830054169434,0.2021873296181831
PCIF1,0.3286569276305382,0.03892046962932772,0.0773411296320513
PCK1,-2.35083642387214,7.401258986115769e-08,7.655396309296207e-06
PCK2,0.09836362239836127,0.46045784341804186,0.5560923711759714
PCLAF,0.014112660042831848,0.931394974013347,0.9503986107988792
PCLO,0.733033155851675,0.2570503144286079,0.3522957992788871
PCM1,-0.0037506194534913107,0.9549090093575741,0.9675616824651545
PCMT1,-0.12825608618967266,0.28262921566722615,0.3794449396418318
PCMTD1,-0.8780658681934277,6.374054562570642e-06,0.00014380435619466836
PCMTD2,-0.5738121629591131,3.1642147762695376e-05,0.0004048532777458485
PCNA,0.2751317448963828,0.020318456633026966,0.046203464549755234
PCNP,-0.8055535932108349,1.9075679377628017e-05,0.0002864182772305266
PCNT,0.3644885152196746,0.03587486649101689,0.07259417214713003
PCNX1,0.09835496037380231,0.23443110469780665,0.3269744960680899
PCNX2,0.39641319990258195,0.035972672029478646,0.07274731783575225
PCNX3,1.3819594173398881,0.00011893826654040381,0.0009989751084329064
PCNX4,-0.06973966739873383,0.2565176060922637,0.35174896506792586
