target_label,target_chembl_id,target_pref_name,target_organism,target_tax_id,activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,molecule_pref_name,canonical_smiles,assay_chembl_id,assay_description,assay_type,bao_format,bao_label,assay_variant_accession,assay_variant_mutation,document_chembl_id,document_journal,document_year,standard_type,standard_relation,standard_value,standard_units,standard_upper_value,pchembl_value,relation,value,units,text_value,data_validity_comment,potential_duplicate,standard_flag,src_id,standard_value_nM,pActivity_nM,endpoint_stratum,quality_flags,training_use
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467617,379235,CHEMBL3138041,CHEMBL3138041,,C[C@@H](C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)[C@@H]1C[C@H]1C(=O)O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,2430.0,nM,,5.61,=,2.43,uM,,,0,1,1,2430.0,5.614393726401688,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467619,379259,CHEMBL3138035,CHEMBL3138035,,C[C@@H](C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)[C@H]1C[C@@H]1C(=O)O,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,42700.0,nM,,4.37,=,42.7,uM,,,0,1,1,42700.0,4.369572124974976,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467627,379299,CHEMBL3138044,CHEMBL3138044,,C[C@H](CCN)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,9680.0,nM,,5.01,=,9.68,uM,,,0,1,1,9680.0,5.014124642691606,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467629,379319,CHEMBL3138403,CHEMBL3138403,,CCOC(=O)NCC[C@@H](C)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,2720.0,nM,,5.57,=,2.72,uM,,,0,1,1,2720.0,5.565431095965801,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467631,379340,CHEMBL3138034,CHEMBL3138034,,C[C@H](CCn1oc(=O)[nH]c1=O)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,1220.0,nM,,5.91,=,1.22,uM,,,0,1,1,1220.0,5.913640169325252,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467633,379360,CHEMBL3138058,CHEMBL3138058,,C[C@H](CCCOS(=O)(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,5990.0,nM,,5.22,=,5.99,uM,,,0,1,1,5990.0,5.2225731776106885,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1467635,379381,CHEMBL3138038,CHEMBL3138038,,C[C@H](CCCS(=O)(=O)O)C1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL829871,Binding affinity for human Farnesoid X receptor in FRET assay,B,BAO_0000357,single protein format,,,CHEMBL1137212,J Med Chem,2004.0,EC50,=,4550.0,nM,,5.34,=,4.55,uM,,,0,1,1,4550.0,5.341988603342887,fxr|EC50|B|single protein format|CHEMBL829871,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480511,386686,CHEMBL193099,CHEMBL193099,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3c(Cl)cccc3Cl)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,195.0,nM,,6.71,=,0.195,uM,,,0,1,1,195.0,6.709965388637482,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480512,386687,CHEMBL193148,CHEMBL193148,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C(=O)C2CCCCC2)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,1470.0,nM,,5.83,=,1.47,uM,,,0,1,1,1470.0,5.832682665251824,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
fxr,CHEMBL2047,Bile acid receptor,Homo sapiens,9606,1480513,386846,CHEMBL189944,CHEMBL189944,,COC(=O)/C=C/c1cccc(N(Cc2ccc(/C=C/c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)C(=O)C(C)C)c1,CHEMBL840248,Effective concentration against farnesoid X receptor (FXR),B,BAO_0000357,single protein format,,,CHEMBL1139569,Bioorg Med Chem Lett,2005.0,EC50,=,1950.0,nM,,5.71,=,1.95,uM,,,0,1,1,1950.0,5.709965388637482,fxr|EC50|B|single protein format|CHEMBL840248,variant_accession_missing;,candidate_after_assay_review
