herb,name,status,smiles,mw_pubchem,cid
Alisma orientale(泽泻),alismoxide,OK,CC(C)C1=C[C@H]2[C@@H](CC[C@]2(C)O)[C@](CC1)(C)O,238.37,10988340.0
Cassia obtusifolia(决明子),obtusifolin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C2=O)C=CC=C3O,284.26,3083575.0
Cassia obtusifolia(决明子),obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)O,344.3,155380.0
Cassia obtusifolia(决明子),aurantio-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,330.29,155011.0
Cassia obtusifolia(决明子),chryso-obtusin,OK,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC,358.3,155381.0
Cassia obtusifolia(决明子),rubrofusarin,OK,CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,272.25,72537.0
Cassia obtusifolia(决明子),nigrofusarin,PUBCHEM_NOT_FOUND,,,
Cassia obtusifolia(决明子),toralactone,OK,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,272.25,5321980.0
Pueraria lobata(葛根),puerarin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,416.4,5281807.0
Pueraria lobata(葛根),daidzein,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.24,5281708.0
Pueraria lobata(葛根),daidzin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.4,107971.0
Pueraria lobata(葛根),genistin,OK,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,5281377.0
Pueraria lobata(葛根),formononetin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.26,5280378.0
Pueraria lobata(葛根),biochanin A,OK,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.26,5280373.0
Pueraria lobata(葛根),3'-methoxydaidzein,OK,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.26,5319422.0
Pueraria lobata(葛根),ononin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,430.4,442813.0
