std_smiles,pIC50,n_rep
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(c2ccc(F)c(F)c2)CC1,5.739928612014925,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(c2cccc(F)c2)CC1,5.995678626217357,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(c2ccccc2)CC1,5.94692155651658,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC(c2ccccc2C(F)(F)F)CC1,5.59176003468815,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC1c1ccc(F)cc1,5.486782399932061,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC1c1cccc(F)c1,5.534617148551582,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC1c1ccccc1,5.455931955649724,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC12CC2,5.308034897232639,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1C1CC1,4.988006885340743,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1C1CCOCC1,4.388382889445664,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1Cc1ccccc1,5.330683119433887,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1cc(Br)no1,4.489454989793388,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccc(Br)cc1,4.718285029972704,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccc(F)cc1,4.6777807052660805,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1cccc(Br)c1,4.687188173787912,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1cccc(F)c1,4.49254893909803,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccccc1Br,4.730954290342377,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccccc1C(F)F,5.209011524911184,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccnc(Br)c1F,4.634137784597445,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ccncc1F,4.553773598221837,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1nc2ccccc2o1,4.558619115083489,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCC1c1ncco1,4.399789693590672,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC[C@@H]1C(F)(F)F,4.522734004575147,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC[C@@H]1c1ccccc1,4.512437439743622,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC[C@H]1c1ccccc1,5.211124884224583,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCC[C@H]1c1ccon1,4.563678299860267,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCCc2cccc(F)c21,4.513003111568177,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCN(c2cc(F)ccc2Cl)CC1,5.0614802748235075,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCN(c2ccccc2)C(=O)C1,4.950781977329818,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCN(c2ccccc2)CC1,5.605548319173783,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCN(c2ccccc2F)CC1,4.7942544590573375,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCOCC1c1ccccc1,4.770830297460899,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCOc2ccccc21,4.384260311380845,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1C[C@@H](F)C[C@H]1c1ccccc1,4.706416486503883,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1C[C@H](F)C[C@H]1c1ccccc1,4.438779321066057,1
O=C(c1cc(-c2ccccc2)on1)N1CC(CCl)(CNc2ccccc2)C1,5.866461091629782,1
O=C(c1cc(-c2ccccc2)on1)N1CC(Cc2ccccc2)C1,6.09151498112135,1
O=C(c1cc(-c2ccccc2)on1)N1CC(c2ccccc2)C1,5.790484985457369,1
O=C(c1cc(-c2ccccc2)on1)N1CC2(C1)CC(O)(c1ccccc1)C2,6.022276394711152,1
O=C(c1cc(-c2ccccc2)on1)N1CC2(C=C(c3ccccc3)C2)C1,5.193141970481182,1
O=C(c1cc(-c2ccccc2)on1)N1CC2(CC(c3ccccc3)C2)C1,5.052076380168273,1
O=C(c1cc(-c2ccccc2)on1)N1CC=C(c2cc(F)ccc2Cl)CC1,7.045757490560675,1
