canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,n_active,MTS,admet_ok,pains,mw2,obscure,final
COC(=O)C1(CC2=CC=C(O)C(C(O)C3OC3(C)C)=C2)OC(=O)C(O)=C1C1=CC=C(O)C=C1,,Aspergillus terreus,Shikimates and Phenylpropanoids,6.66,7.67,5.43,6.52,5.56,7.33,6.1,5.05,5.28,7.17,7.39,7.67,5,35.35,True,False,456.44700000000023,1.0,37.12
CC(C)(O)[C@@H](O)CC1=C(O)C=CC2=C1OC(C1=CC=C(O)C=C1)=CC2=O,,Brosimum acutifolium,Shikimates and Phenylpropanoids,6.7,7.68,4.89,6.53,5.22,7.14,5.88,5.57,5.54,7.24,7.35,7.68,5,35.29,True,False,356.3740000000001,1.0,37.05
CC(C)(O)[C@H](O)CC1=C(O)C=CC2=C1OC(C1=CC=C(O)C=C1)=CC2=O,,Brosimum acutifolium,Shikimates and Phenylpropanoids,6.7,7.68,4.89,6.53,5.22,7.14,5.88,5.57,5.54,7.24,7.35,7.68,5,35.29,True,False,356.3740000000001,1.0,37.05
C=C(C)[C@@H]1COC2=C(C)C=C3OC4=C(C[C@@H](OC(=O)C5=C(O)C=C(O)C=C5CC/C=C\C=C/CCC)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@H]1O,Emerxanthone A,Emericella|Emericella sp. XL029,Polyketides,6.8,7.69,5.25,6.61,5.36,5.67,6.06,6.92,5.23,7.16,7.26,7.69,5,35.18,True,False,698.8090000000003,1.0,36.94
C=C(C)[C@@H]1COC2=C(C)C=C3OC4=C(C[C@@H](OC(=O)C5=C(O)C=C(O)C=C5CC/C=C\C=C/CCC)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Emerxanthone B,Emericella|Emericella sp. XL029,Polyketides,6.8,7.69,5.25,6.61,5.36,5.67,6.06,6.92,5.23,7.16,7.26,7.69,5,35.18,True,False,698.8090000000003,1.0,36.94
O=C1C=C(C2=CC=C(O)C=C2)OC2=C([C@@H](O)[C@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C(O)=CC=C12,,Commiphora sphaerocarpa|Erythrina speciosa|Helichrysum drakensbergense|Lecidea quernea|Piper divaricatum|Plakortis angulospiculatus|Prosopis africana|Prunus prostrata|Richteria pyrethroides|Santolina pectinata|Satureja vulgaris,Shikimates and Phenylpropanoids,6.53,7.78,5.01,6.23,5.29,7.03,6.69,5.55,5.61,7.12,7.31,7.78,5,35.15,True,False,416.3820000000001,1.0,36.91
NC[C@H](O)C1=CC=C(O)C2=C1OCC(OC1=CC=CC(O)=C1)=C2C1=CC=C(O)C(Br)=C1,Ammonificin C,Thermovibrio ammonificans,Alkaloids,6.33,7.01,5.18,6.13,5.44,7.33,6.51,6.61,5.42,7.63,7.32,7.63,5,35.09,True,False,486.3180000000001,1.0,36.84
C=C(C)[C@H]1COC2=C(C)C=C3OC4=C([C@@H](OC)[C@@H](OC(C)=O)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Aspergixanthone F,Aspergillus|Aspergillus sp.|Aspergillus sp. ZA-01,Polyketides,6.68,7.82,5.23,6.57,5.46,5.65,6.14,6.84,5.05,7.18,7.28,7.82,5,35.09,True,False,512.5550000000003,1.0,36.84
OC1=CC=CC(CC2=NC=CN2)=C1OC1=CC=CC(CC2=NC=CN2)=C1,Lepidine B,Lepidium satisvum|Lepidium sativum,Alkaloids,6.26,7.3,5.26,6.75,5.37,6.28,6.91,6.79,5.23,7.32,7.18,7.32,5,35.07,True,False,346.3900000000001,1.0,36.82
COC1=CC(C2=C(O[C@@H]3O[C@@H]([C@@H](C)O)[C@@H](O)[C@H]3O)C(=O)C3=C(O)C=C(O)C=C3O2)=CC=C1O,,Caragana jubata,Shikimates and Phenylpropanoids,6.57,7.53,5.09,6.29,5.32,7.45,6.58,5.34,5.11,6.93,7.3,7.53,5,35.06,True,False,462.4070000000002,1.0,36.81
