  Schisandra chinensis(五味子) | Gomisin L2 | CID 5317807 | MW 386 | ADMET True
  Schisandra chinensis(五味子) | Gomisin M1 | CID 5321170 | MW 386 | ADMET True
  Schisandra chinensis(五味子) | Gomisin M2 | CID 38363711 | MW 386 | ADMET True
  Schisandra chinensis(五味子) | Gomisin N | CID 158103 | MW 400 | ADMET True
  Schisandra chinensis(五味子) | Gomisin O | CID 5317808 | MW 416 | ADMET True
  Schisandra chinensis(五味子) | Schisantherin A | CID 151529 | MW 537 | ADMET False
  Schisandra chinensis(五味子) | Schisantherin B | CID 6438572 | MW 515 | ADMET False
  Schisandra chinensis(五味子) | Schisanhenol | CID 73057 | MW 402 | ADMET True
  Schisandra chinensis(五味子) | Angeloylgomisin H | CID 26204131 | MW 501 | ADMET False
  Schisandra chinensis(五味子) | Pregomisin | CID 181796 | MW 390 | ADMET True
  Schisandra chinensis(五味子) | Chamigrenal | CID 177096 | MW 218 | ADMET True
  Schisandra chinensis(五味子) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid A | CID 471002 | MW 517 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid B | CID 471003 | MW 517 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid C2 | CID 57396771 | MW 519 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid D | CID 73657193 | MW 533 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid DM | CID 11784642 | MW 469 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid E | CID 23247894 | MW 513 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid F | CID 23247895 | MW 571 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid G | CID 20055988 | MW 533 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid H | CID 73657194 | MW 573 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid I | CID 156595229 | MW 533 | ADMET False
  Ganoderma lucidum(灵芝) | Ganoderic acid J | CID 20055991 | MW 515 | ADMET False
