herb,name,status,smiles,mw_pubchem,cid,mw,logp,hbd,hba,rotb,tpsa,admet_fail,identity_status,source_evidence,reviewer,reviewed_at
Cassia obtusifolia(决明子),toralactone,OK,CC1=CC2=CC3=CC(=CC(=C3C(=C2C(=O)O1)O)O)OC,272.25,5321980.0,272.256,2.6744200000000022,2,5,1,79.9,,pending_review,,,
Pueraria lobata(葛根),puerarin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,416.4,5281807.0,416.38200000000006,0.3861000000000004,6,9,3,160.82,,pending_review,,,
Pueraria lobata(葛根),daidzein,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.24,5281708.0,254.24099999999999,2.8712000000000018,2,4,1,70.67,,pending_review,,,
Pueraria lobata(葛根),daidzin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.4,107971.0,416.38200000000006,0.34429999999999944,5,9,4,149.82,,pending_review,,,
Pueraria lobata(葛根),genistin,OK,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,432.4,5281377.0,432.3810000000001,0.04989999999999928,6,10,4,170.04999999999998,,pending_review,,,
Pueraria lobata(葛根),formononetin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.26,5280378.0,268.268,3.174200000000002,1,4,2,59.67,,pending_review,,,
Pueraria lobata(葛根),biochanin A,OK,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.26,5280373.0,284.26699999999994,2.879800000000002,2,5,2,79.9,,pending_review,,,
Pueraria lobata(葛根),3'-methoxydaidzein,OK,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.26,5319422.0,284.26699999999994,2.879800000000002,2,5,2,79.9,,pending_review,,,
Pueraria lobata(葛根),ononin,OK,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,430.4,442813.0,430.4090000000001,0.6472999999999995,4,9,5,138.82000000000002,,pending_review,,,
Sedum sarmentosum(垂盆草),sarmentosin,OK,C(/C=C(/CO)\C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,275.25,5281123.0,275.257,-2.7548199999999983,5,8,5,143.4,,pending_review,,,
Phyllanthus niruri(叶下珠),hypophyllanthin,OK,COC[C@@H]1CC2=CC(=C3C(=C2[C@@H]([C@H]1COC)C4=CC(=C(C=C4)OC)OC)OCO3)OC,430.5,182140.0,430.49700000000024,3.6543000000000037,0,7,8,64.61000000000001,,pending_review,,,
Phyllanthus niruri(叶下珠),nirtetralin,OK,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,430.5,182644.0,430.49700000000024,3.6543000000000037,0,7,8,64.61000000000001,,pending_review,,,
Phyllanthus niruri(叶下珠),niranthin,OK,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,432.5,11575632.0,432.51300000000026,3.7515000000000027,0,7,12,64.61000000000001,,pending_review,,,
Morus alba(桑叶),1-deoxynojirimycin,OK,C1[C@@H]([C@H]([C@@H]([C@H](N1)CO)O)O)O,163.17,29435.0,163.173,-2.9667999999999983,5,5,1,92.95,,pending_review,,,
Morus alba(桑叶),oxyresveratrol,OK,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,244.24,5281717.0,244.24599999999998,2.679400000000002,4,4,2,80.92,,pending_review,,,
Morus alba(桑叶),astragalin,OK,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,448.4,5282102.0,448.3800000000001,-0.24450000000000044,7,11,4,190.27999999999997,,pending_review,,,
Morus alba(桑叶),moracin N,OK,CC(=CCC1=C(C=C2C(=C1)C=C(O2)C3=CC(=CC(=C3)O)O)O)C,310.3,641376.0,310.349,4.725300000000005,3,4,3,73.83000000000001,,pending_review,,,
Morus alba(桑叶),moracin M,OK,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,242.23,185848.0,242.23,3.2166000000000006,3,4,1,73.83000000000001,,pending_review,,,
Morus alba(桑叶),mulberrofuran G,OK,CC1=C[C@@H]2[C@@H]3[C@@H](C1)C4=C(C=C(C=C4)O)O[C@@]3(OC5=CC(=CC(=C25)O)C6=CC7=C(O6)C=C(C=C7)O)C8=C(C=C(C=C8)O)O,562.6,9959532.0,562.5740000000004,7.0992000000000095,5,8,2,132.75,,pending_review,,,
Polygonum cuspidatum(虎杖),piceid,OK,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,390.4,5281718.0,390.3880000000001,0.44690000000000035,6,8,5,139.84,,pending_review,,,
Polygonum cuspidatum(虎杖),catechin,OK,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27,9064.0,290.271,1.5461000000000014,5,6,1,110.38000000000001,,pending_review,,,
Polygonum cuspidatum(虎杖),torachrysone,OK,CC1=CC2=CC(=CC(=C2C(=C1C(=O)C)O)O)OC,246.26,5321977.0,246.26199999999997,2.770620000000001,2,4,2,66.76,,pending_review,,,
