herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Glycyrrhiza uralensis(甘草),Licoflavanone,OK,,14218027.0,CC(=CCC1=C(C=CC(=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O)C,C20H20O5,340.38,4.02,3.0,5.0,True,,340.4
Bupleurum chinense(柴胡),Saikogenin A,OK,,99651.0,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2C=CC4=C5CC(CC[C@@]5([C@H](C[C@]43C)O)CO)(C)C)C)(C)CO)O,C30H48O4,472.71,5.0,4.0,4.0,True,,472.7
Bupleurum chinense(柴胡),Saikogenin D,OK,,9890994.0,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2C=CC4=C5CC(CC[C@@]5([C@@H](C[C@]43C)O)CO)(C)C)C)(C)CO)O,C30H48O4,472.71,5.0,4.0,4.0,True,,472.7
Bupleurum chinense(柴胡),Saikogenin F,OK,,21594261.0,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2C=C[C@@]45[C@]3(C[C@@H]([C@@]6([C@H]4CC(CC6)(C)C)CO5)O)C)C)(C)CO)O,C30H48O4,472.71,5.1,3.0,4.0,True,,472.7
Schisandra chinensis(五味子),Schisandrin A,OK,,155256.0,C[C@@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@@H]1C)OC)OC)OC)OC)OC)OC,C24H32O6,416.51,4.78,0.0,6.0,True,,416.5
Schisandra chinensis(五味子),Schisandrin B,OK,,108130.0,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,C23H28O6,400.47,4.49,0.0,6.0,True,,400.5
Schisandra chinensis(五味子),Schisandrin C,OK,,443027.0,C[C@@H]1CC2=CC3=C(C(=C2C4=C(C5=C(C=C4C[C@@H]1C)OCO5)OC)OC)OCO3,C22H24O6,384.43,4.2,0.0,6.0,True,,384.4
Schisandra chinensis(五味子),Schisandrol A,OK,,11102092.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@@]1(C)O)OC)OC)OC)OC)OC)OC,C24H32O7,432.51,3.89,1.0,7.0,True,,432.5
Schisandra chinensis(五味子),Schisandrol B,OK,,634470.0,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1(C)O)OC)OC)OC)OC)OCO3,C23H28O7,416.47,3.6,1.0,7.0,True,,416.5
Schisandra chinensis(五味子),Gomisin H,OK,,102004650.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@@]1(C)O)OC)OC)OC)O)OC)OC,C23H30O7,418.49,3.59,2.0,7.0,True,,418.5
Schisandra chinensis(五味子),Gomisin J,OK,,3001686.0,C[C@@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@@H]1C)O)OC)OC)OC)OC)O,C22H28O6,388.46,4.17,2.0,6.0,True,,388.5
Schisandra chinensis(五味子),Gomisin K1,OK,,5317805.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@H]1C)OC)OC)OC)OC)OC)O,C23H30O6,402.49,4.47,1.0,6.0,True,,402.5
Schisandra chinensis(五味子),Gomisin K3,OK,,73057.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@H]1C)OC)OC)OC)O)OC)OC,C23H30O6,402.49,4.47,1.0,6.0,True,,402.5
Schisandra chinensis(五味子),Gomisin L1,OK,,5317806.0,C[C@@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C[C@@H]1C)OC)OC)O)OC)OCO3,C22H26O6,386.44,4.18,1.0,6.0,True,,386.4
Schisandra chinensis(五味子),Gomisin L2,OK,,5317807.0,C[C@H]1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C[C@H]1C)OCO4)OC)OC)OC)O,C22H26O6,386.44,4.18,1.0,6.0,True,,386.4
Schisandra chinensis(五味子),Gomisin M1,OK,,5321170.0,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)O)OC)OCO3,C22H26O6,386.44,4.18,1.0,6.0,True,,386.4
