molecule_id,canonical_smiles,pActivity,assay_id,assay_description,document_id,document_year,overlap_canonical,max_Tanimoto_to_canonical,ad_status,stratum,cross_document_E3_attribute,E5_candidate
CHEMBL4129575,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,7.494850021680094,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6527777777777778,out_of_domain,E1,True,False
CHEMBL4129812,CC(=O)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,6.698970004336019,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7857142857142857,out_of_domain,E1,True,False
CHEMBL4130174,N#CC1(C(=O)N2CC[C@@H](CN3C(=O)C4(CC4)N=C3c3ccc(-c4ccc5occc5c4)cc3)C2)CC1,6.229147988357855,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.6710526315789473,out_of_domain,E1,True,False
CHEMBL4130221,Cn1ncc2cc(-c3ccc(C4=NC5(CCOC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.259637310505756,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.7638888888888888,out_of_domain,E1,True,False
CHEMBL4130264,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3n[nH]c4ccccc34)cc2)C1,6.443697499232712,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8307692307692308,in_domain,E1,True,False
CHEMBL4130300,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.6020599913279625,CHEMBL4123591,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,CHEMBL4118196,2018,False,0.8461538461538461,in_domain,E1,True,False
CHEMBL4439223,O=C(c1ccc(-c2ccc(F)cc2Cl)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.508638306165727,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.36,out_of_domain,E2,True,False
CHEMBL4439986,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)[C@H]2CCCO2)CC1,5.958607314841775,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.25,out_of_domain,E2,True,False
CHEMBL4440024,Cn1ccc2cc(-c3ccc(C(=O)N4CCN(C(=O)C5(O)CC5)CC4)cc3)ccc21,7.920818753952375,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3253012048192771,out_of_domain,E2,True,False
CHEMBL4440104,O=C(c1ccc(-c2nc3ccc(Cl)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.013228265733755,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2976190476190476,out_of_domain,E2,True,False
CHEMBL4442092,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.455931955649724,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2727272727272727,out_of_domain,E2,True,False
CHEMBL4444430,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CCC2)CC1,5.7447274948966935,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.25,out_of_domain,E2,True,False
CHEMBL4445590,O=C(c1ccc(-c2nc3cc(F)ccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.716698771296451,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3333333333333333,out_of_domain,E2,True,False
CHEMBL4447234,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2(O)CCCC2)CC1,4.301029995663981,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.25,out_of_domain,E2,True,False
CHEMBL4449818,O=C(c1ccc(-c2nc3ccccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.267606240177032,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.4,out_of_domain,E2,True,False
CHEMBL4450081,O=C(c1ccc(-c2cnc3ccccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,8.0,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.40540540540540543,out_of_domain,E2,True,False
CHEMBL4454062,O=C(c1ccc(-c2cc(Cl)ccc2F)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.958607314841775,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3125,out_of_domain,E2,True,False
CHEMBL4455553,COc1ccc(-c2ccc(C(=O)N3CCN(C(=O)C4(O)CC4)CC3)cc2)c(Cl)c1,5.508638306165727,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2976190476190476,out_of_domain,E2,True,False
CHEMBL4457855,O=C(c1ccc(-c2ccc(Cl)cc2F)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.958607314841775,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.34210526315789475,out_of_domain,E2,True,False
CHEMBL4458935,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2CCCC2)CC1,4.301029995663981,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2987012987012987,out_of_domain,E2,True,False
CHEMBL4462401,O=C(c1ccc(-c2ccc3scnc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.494850021680094,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3058823529411765,out_of_domain,E2,True,False
CHEMBL4466578,Cn1c(-c2ccc(C(=O)N3CCN(C(=O)C4(O)CC4)CC3)cc2)cc2ccccc21,7.481486060122112,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3023255813953488,out_of_domain,E2,True,False
CHEMBL4471793,CC(C)(O)C(=O)N1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1,4.455931955649724,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2222222222222222,out_of_domain,E2,True,False
CHEMBL4518496,O=C(c1ccc(-c2ccc3ccccc3n2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.494850021680094,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.27710843373493976,out_of_domain,E2,True,False
CHEMBL4529391,O=C(c1ccc(-c2ccc3[nH]ccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.795880017344075,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3783783783783784,out_of_domain,E2,True,False
CHEMBL4548362,O=C(c1ccc(-c2ccc3ocnc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.847711655616943,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3058823529411765,out_of_domain,E2,True,False
CHEMBL4553437,O=C(c1ccc(-c2ccc3cnccc3c2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.886056647693163,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3972602739726027,out_of_domain,E2,True,False
CHEMBL4565279,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,6.671620396561262,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.3333333333333333,out_of_domain,E2,True,False
CHEMBL4570684,O=C(c1ccc(-c2nc3ccccc3s2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.2441251443275085,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.4,out_of_domain,E2,True,False
CHEMBL4575847,Cn1ncc2ccc(-c3ccc(C(=O)N4CCN(C(=O)C5(O)CC5)CC4)cc3)cc21,7.585026652029182,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.4342105263157895,out_of_domain,E2,True,False
CHEMBL4575998,O=C(c1ccc(-c2nc3cc(Cl)ccc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,7.161150909262744,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.2976190476190476,out_of_domain,E2,True,False
CHEMBL4581195,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2CCCO2)CC1,5.943095148663527,CHEMBL4402021,Inhibition of full length recombinant human FASN using acetyl-CoA/malonyl-CoA as substrate preincubated for 60 mins followed by substrate addition and measured after 90 mins in presence of NADPH,CHEMBL4400560,2019,False,0.25,out_of_domain,E2,True,False
