n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
32,0.0002751340462264773,0.760996393856276,0.6263725428570717,0.2942742580366206,-0.09742901112542218,B_assay_linear,CHEMBL4123591,20260913,10,32
32,-0.04895416602562719,0.7795080556554304,0.5764051956328895,0.4281261531442652,0.30354231212630206,C_indicator_ridge,CHEMBL4123591,20260913,10,32
32,-0.12944206781519751,0.8088618109810684,0.6767725229710193,0.2942742580366206,-0.10339619602665967,D_shrunk_offset,CHEMBL4123591,20260913,10,32
32,-0.04091024450579339,0.7765134687051473,0.5746213180217292,0.4468280236456421,0.2985528073121541,E_pool_ridge,CHEMBL4123591,20260913,10,32
20,-0.20384681016464934,1.2805689370817952,1.1419005080899935,0.1418893589390467,-0.3229901668857232,none_canonical_only,CHEMBL4402021,20260913,6,20
20,-0.04058082172575861,1.190570886645525,0.8904689946130724,,0.2351136090923652,cal_mean_baseline,CHEMBL4402021,20260913,6,20
20,-0.12859604803597557,1.2398998638132384,1.0014974188527621,0.1418893589390467,0.04263235356105417,A_assay_offset,CHEMBL4402021,20260913,6,20
20,-0.06350155914431888,1.203611739970504,0.9456080269536532,0.1418893589390467,0.11716369416011423,B_assay_linear,CHEMBL4402021,20260913,6,20
20,0.11892189701390987,1.0955307036844213,0.843800128221855,0.2916823691717803,-0.06196261618839651,C_indicator_ridge,CHEMBL4402021,20260913,6,20
20,-0.1690605446534179,1.2619317040377218,1.1081507369718295,0.1418893589390467,-0.23861573909031303,D_shrunk_offset,CHEMBL4402021,20260913,6,20
20,0.1176985169179412,1.0962910140019415,0.8445736534598922,0.2916823691717803,-0.06516700957523733,E_pool_ridge,CHEMBL4402021,20260913,6,20
28,-1.6564959927455307,0.9519314064073096,0.7974987726847466,0.3670592966416684,0.7465261876630246,none_canonical_only,CHEMBL5730715,20260913,9,28
28,-0.17386861318298563,0.6327917642220678,0.5432702387088186,,0.24353515846860155,cal_mean_baseline,CHEMBL5730715,20260913,9,28
28,-0.6789003623807413,0.7567693499169732,0.6490789929794757,0.3670592966416684,0.47310442328924535,A_assay_offset,CHEMBL5730715,20260913,9,28
28,-0.21771526827801946,0.6445015239486378,0.49347449699382334,0.3670592966416684,0.3392147140890675,B_assay_linear,CHEMBL5730715,20260913,9,28
