molecule_id,canonical_smiles,pActivity_calc,scaffold,document_year,assay_id,assay_format,construct,assay_description,scope
CHEMBL4125982,Cn1ncc2cc(-c3ccc(C4=NC5(CC5)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)nc3)ccc21,6.102372908709558,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cn2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126126,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4scnc4c3)cc2)C1,7.376750709602099,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4scnc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126247,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cnccc4c3)cc2)C1,7.698970004336019,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4cnccc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126304,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,7.337242168318426,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126387,COC(=O)N1CC2(C1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,6.522878745280337,O=C(C1CC1)N1CCC(CN2C(=O)C3(CNC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126535,CC(C)N1CCC2(CC1)N=C(c1ccc(-c3ccc4c(cnn4C)c3)cc1)N(C[C@@H]1CCN(C(=O)C3CC3)C1)C2=O,5.958607314841775,O=C(C1CC1)N1CCC(CN2C(=O)C3(CCNCC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126572,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3cnc4ccccc4c3)cc2)C1,6.920818753952375,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3cnc4ccccc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126610,Cn1ncc2cc(-c3ccc(C4=NC(C)(C)C(=O)N4C[C@@H]4CCN(C(=O)C5CC5)C4)cc3)ccc21,6.85078088734462,O=C(C1CC1)N1CCC(CN2C(=O)CN=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2017,CHEMBL4123591;CHEMBL5731051;CHEMBL5734379,assay format,full_length_human_FASN_stated_in_assay_description,"Fatty Acid Synthase (FASN) Inhibition Scintillation Proximity Assay: In this assay, inhibition of FASN activity is measured using 3H-acetyl-CoA and malonyl-CoA as substrates. 3H-Acetyl CoA is converted to 3H-palmitate through a series of reactions by the FASN protein, which contains 7 functional domains and carries out 7 enzymatic reactions to ultimately produce 3H-palmitate. The assay principle is based upon the fact that 3H-acetyl-CoA is hydrophilic and the end product, 3H-palmitate is hydrophobic. The hydrophobic 3H-palmitate binds to scintillation proximity assay (SPA) imaging beads (resulting in light emission from the imaging beads) whereas the hydrophilic 3H-acetyl-CoA does not bind to the imaging beads (and therefore does not result in light emission from the imaging beads).10 μL assay buffer (100 mM KH2PO4 pH 7.5, 1 mM DTT) (20 μL in blanks) was added to a 384-well white Opti Plate plate (Perkin Elmer). 0.9 μL test compound (at concentrations of 30 μM, 10 μM, 3 μM, 1 μM, 0.30 μM, 0.10 μM, 0.03 μM and 0.01 μM)/DMSO and 10 μL hFASN enzyme (full length, 300 ng, purified in house) or 10 μL assay buffer was added to the wells. Then 10 μL 450 μM NADPH (Sigma N7505), 18.75 μM [3H]-acetyl-CoA (Perkin Elmer NET-290L), 150 μM malonyl-CoA (Sigma M4263) were added, mixed and incubated at room temperature for 60 minutes. The reaction was stopped by adding 20 μL Streptavidin coupled imaging beads (25 mg/ml). After incubation for 30 minutes at room temperature in the dark, the 384 well plate was centrifuged at 1500 rpm for 3 minutes and was measured after at least 24 hrs by the LEADseeker, measuring emission using a 610±20 nm pass filter. (Bays, N. W., et al., A simplified scintillation proximity assay for fatty acid synthase activity: development and comparison with other FAS activity assays, J. Biomol. Screen., 2009, pp 636-642, Vol. 14(6).)Raw data generated by the instrument were normalized to % Controlmin values, which were calculated as: % Controlmin=100*(x−mLC)/(mHC−mLC)where mLC and mHC were the means of the low control wells and high control wells on the plate, after manual exclusion of outliers. A plot of Controlmin versus test compound concentration was fitted to a 4-parameter logistic curve using a non-linear least squares regression method. From the plot, an IC50 (concentration at which 50% inhibition is achieved) was calculated. pIC50 values were calculated as −log(IC50), when IC50 is expressed in molar units.",broad_full_length_stated_sensitivity
CHEMBL4126662,Cc1cc(C2=NC3(CC3)C(=O)N2C[C@@H]2CCN(C(=O)C3CC3)C2)ccc1-c1ccc2c(cnn2C)c1,6.522878745280337,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4[nH]ncc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126768,O=C(N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1)C1(O)CC1,7.443697499232712,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126910,O=C(CC(F)(F)F)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3ccc4occc4c3)cc2)C1,6.769551078621726,O=C1N(CC2CCNC2)C(c2ccc(-c3ccc4occc4c3)cc2)=NC12CC2,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
CHEMBL4126984,O=C(C1CC1)N1CC[C@@H](CN2C(=O)C3(CC3)N=C2c2ccc(-c3c[nH]c4ccccc34)cc2)C1,7.3872161432802645,O=C(C1CC1)N1CCC(CN2C(=O)C3(CC3)N=C2c2ccc(-c3c[nH]c4ccccc34)cc2)C1,2018,CHEMBL4123591,single protein format,full_length_human_FASN_stated_in_assay_description,Inhibition of human full length FASN using [3H]-acetyl-CoA/malonyl-CoA as substrate after 60 mins in presence of NADPH by scintillation proximity assay,broad_full_length_stated_sensitivity
