model,permutation,n,mae,rmse,r2,spearman
ecfp_ridge,14,18,0.9014725365259514,1.1088368045123436,-0.6545106685166442,-0.7117772393116021
ecfp_rf,14,18,0.8188257509551247,0.9896524378901784,-0.3179523364264454,-0.38016549211417927
ecfp_xgb,14,18,0.8371742146859668,0.9573058367909352,-0.2332062593450901,-0.1394628843353647
ecfp_ridge,15,18,0.666884691227194,0.8142466537554341,-0.1471197063661165,-0.15995872033023736
ecfp_rf,15,18,0.6781301270768637,0.8308767382417446,-0.1944555050103154,-0.3663570691434469
ecfp_xgb,15,18,0.7622054126674693,0.9175204096407716,-0.4565595429169167,-0.29205366357069146
ecfp_ridge,16,18,0.7273550057221347,0.896830081279595,-0.6219723682511296,0.013415892672858616
ecfp_rf,16,18,0.5591623871209771,0.7099489669691712,-0.016429780104819436,-0.08771929824561403
ecfp_xgb,16,18,0.8156633237674532,0.9607452798897057,-0.8613996871883014,-0.3415892672858617
ecfp_ridge,17,18,0.6145349538781025,0.7265155568534424,-0.2923549257171223,-0.06508267935650353
ecfp_rf,17,18,0.5209247598960711,0.6520339631717365,-0.04095606921199679,0.020661168049683657
ecfp_xgb,17,18,0.5950464604624475,0.7448213602053694,-0.35830159874379897,-0.019628109647199472
ecfp_ridge,18,18,0.6090913908789403,0.7653678709269828,-0.5977865988396678,0.1693340442490404
ecfp_rf,18,18,0.5747900061936052,0.6448554791722301,-0.13423516688706227,0.20650493201102485
ecfp_xgb,18,18,0.6179114407693975,0.7768312130013485,-0.646006910493885,0.03304078912176398
ecfp_ridge,19,18,0.5702186430236663,0.6836044434289782,-0.5516335188955153,0.10020666504096573
ecfp_rf,19,18,0.42716120467680374,0.5270082552330174,0.0778231083607488,0.1022727818459341
ecfp_xgb,19,18,0.48331427149260087,0.553924187620928,-0.018779172235520614,0.2623968342309824
